grades,toeic,tos,opic,foreign_lang,certificate,foreign_exp,intern,prize,volunteer,label
4.05,825,0,0,0,1,1,0,0,4,1
2.72,0,0,0,0,3,0,0,0,0,0
3,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,5,1,0,0,0,0
3.23,690,0,0,0,2,0,0,0,0,1
3.27,0,0,0,0,2,0,0,0,0,0
3.62,810,0,2,0,4,0,0,0,0,1
2.81,0,0,0,0,1,0,0,0,0,0
3.52,715,0,1,0,3,0,0,0,0,1
3.18,0,0,0,0,2,0,1,0,0,1
3.49,0,0,0,0,2,0,0,0,0,0
3.23,560,0,0,0,4,0,0,0,0,1
3,0,0,0,0,0,1,0,0,0,0
4.22,0,0,0,0,2,0,1,0,0,1
3.75,0,0,0,0,0,0,0,0,0,0
3.74,720,0,0,0,3,3,0,0,0,1
3,0,0,0,0,1,0,0,0,0,0
3.5,0,0,0,0,1,0,0,0,0,0
3.93,0,0,0,0,0,0,0,0,0,0
3.7,0,0,0,0,2,0,0,0,1,1
3,565,0,0,0,4,0,0,0,0,1
3.35,0,0,0,0,1,0,0,0,0,0
3.08,0,0,0,0,1,0,0,0,0,0
3.2,0,0,0,0,0,0,0,0,0,0
3.37,750,0,0,0,5,0,0,0,0,1
3.96,0,0,0,0,2,0,0,0,0,0
3.46,640,0,0,0,1,0,0,0,0,1
3.55,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,3,0,0,0,0,0
3.13,0,0,0,0,0,0,0,0,0,0
3.42,0,0,0,0,4,0,0,0,0,1
2.6,0,0,0,0,4,0,0,0,0,0
3.4,0,0,0,0,2,0,2,0,1,1
3.47,0,0,0,0,4,0,0,0,4,1
3.33,0,0,0,0,1,0,3,0,0,1
3.66,0,0,0,0,4,0,0,0,2,1
3.1,0,0,0,0,4,0,0,0,0,0
3,0,0,0,0,5,1,0,0,3,1
2.27,0,0,0,0,2,0,0,0,0,0
3.04,0,0,0,0,2,1,0,0,0,0
3,845,6,0,0,3,0,0,1,1,1
3,0,0,1,0,3,0,0,0,0,1
3.7,0,0,0,0,0,0,0,0,0,0
2.98,0,0,0,0,2,0,4,1,1,1
3.53,0,0,0,0,0,0,0,0,0,0
3.75,0,0,0,0,3,0,2,0,2,1
3.83,795,0,0,0,5,1,3,0,0,1
3.7,0,0,0,0,0,0,0,0,0,0
3.67,0,0,0,0,3,0,0,0,2,1
3,865,0,0,0,0,1,0,3,1,1
0,970,0,0,0,0,0,0,0,0,0
3.69,745,0,0,0,2,0,0,0,0,1
2.8,0,0,0,0,4,0,3,0,0,1
3.6,0,0,0,0,3,0,4,0,0,1
3.05,0,0,3,0,0,1,0,1,0,1
4.04,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,3,0,0,1,2,1
4.1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,2,0,0,0,0,0
3.61,900,6,0,1,3,0,0,0,0,1
3.6,900,6,0,1,0,0,0,1,0,1
3.94,0,0,0,0,2,0,0,0,0,0
